OBJECTID;Name;Q3 1918;Q4 1918;Q1 1919;Q2 1919
7;Zentrum Grossbasel;336;1248;204;26
6;Vorstädte;280;857;171;18
8;Gürtel;782;2612;524;61
3;Alban;206;659;106;18
4;Breite;334;1234;229;53
2;Gundelingen;1048;3297;782;152
5;Bachletten;237;795;208;40
9;Gotthelf;480;1458;329;43
10;Hegenheim;528;1832;333;40
11;St. Johann;859;2518;502;50
12;Zentrum Kleinbasel;183;666;132;15
13;Clara;160;568;106;15
14;Grenzach;152;432;123;14
19;Matthäus;1258;3141;513;121
18;Rosenthal;234;827;111;30
17;Klybeck;234;729;89;11
16;Kleinhüningen;313;209;34;6
15;Hinter d. Bad. Bahnhof;81;87;15;1
20;Riehen;111;595;59;14
21;Bettingen;8;24;0;0
