Name;OBJECTID;Q3 1918;Q4 1918;Q1 1919;Q2 1919
Zentrum Grossbasel/ Altstadt;7;10;32;7;1
Vorstaedte;6;6;30;7;0
Guertel/Am Ring;8;14;55;6;1
Alban;3;2;16;2;0
Breite;4;4;28;6;1
Gundelingen;2;10;70;7;1
Bachletten;5;3;15;6;1
Gotthelf;9;6;26;4;2
Hegenheim/Iselin;10;5;33;3;1
St.Johann;11;16;52;7;0
Zentrum Kleinbasel;12;3;29;3;0
Clara;13;5;20;8;0
Grenzach/Wettstein;14;0;12;1;1
Matthaeus;19;18;78;11;1
Rosenthal;18;3;15;4;1
Klybeck;17;7;30;1;1
Kleinhueningen;16;3;5;0;0
Hinter d. Bad. Bahnhof/Hirzbrunnen;15;0;1;0;0
Riehen;20;3;11;0;0
Bettingen;21;0;1;0;0
